panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
ANPS,ANPS_Spain,W1,2019,W2,2020,1.5011281224818693,1.63013698630137,1.0164383561643835,1.7424657534246575,0.2905521932681642,5,15-19,18.58823529411765,19,18,19,0.4995541684356422,female,1,34,0.7875,RISK_GEN_ORD10A,0.5822171578275059,0.5735804181058067,0.5072000000000003,0.5969497471608738,0.5735804181058067,0.5177504093802017,0.22556409729891216,0.3635910321782334,-1.1419270833333341,0.20045148350760228,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4904109589041097,1.63013698630137,1.0164383561643835,1.7424657534246575,0.29076451727069313,5,15-19,18.551020408163264,19,18,19,0.5025445456953676,all,0.6938775510204082,49,0.7822222222222223,RISK_GEN_ORD10A,0.6685566966779445,0.6680493450754402,0.6060121522225778,0.6699375783874064,0.6680493450754402,0.599843498510228,0.24922218434516039,0.36603248355001095,-0.6232872051800842,0.21449370457761172,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4708219178082191,1.63013698630137,1.0136986301369864,1.7342465753424658,0.2861054616665386,5,20-24,21.4,21,20,24,1.3549529275577934,male,0,40,0.7989949748743719,RISK_GEN_ORD10A,0.7044303087551014,0.7148813538973394,0.7042044517724649,0.6775474633093252,0.7148813538973394,0.6757813605327436,0.3054213499252159,0.33929006277995377,-0.44062243091031245,-0.25298559431654566,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4111848608953539,1.6246575342465754,1.010958904109589,1.7397260273972603,0.30545351521417796,5,20-24,21.1340206185567,21,20,24,1.2215842341963632,female,1,97,0.7733644859813085,RISK_GEN_ORD10A,0.5608338938776328,0.550172741737833,0.5550508385052151,0.5269312995120011,0.550172741737833,0.5208418407540425,0.31416307384057157,0.34359122168915984,-0.42432293137449484,-0.18963167606063658,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4285971402859714,1.6273972602739726,1.010958904109589,1.7397260273972603,0.3001237627908156,5,20-24,21.21167883211679,21,20,24,1.2627622437846486,all,0.708029197080292,137,0.7814992025518341,RISK_GEN_ORD10A,0.6008013475071577,0.5992640047297955,0.5952054610443701,0.5674316145425031,0.5992640047297955,0.5609622655398165,0.31057998012017807,0.3411244589445451,-0.4273185800306103,-0.20808295352910777,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4807274444969296,1.63013698630137,1.0136986301369864,1.7424657534246575,0.2838188466582286,5,10-90,20.844827586206897,20,18,26,2.0244273536244375,male,0,58,0.7913669064748201,RISK_GEN_ORD10A,0.7191454980318939,0.7122034064026539,0.7136308628845943,0.7061094927444351,0.7122034064026539,0.6991284633993833,0.29373992463831095,0.33610902336632686,-0.49741311023968204,-0.17892292501205453,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4276002029426689,1.6273972602739726,1.010958904109589,1.7424657534246575,0.3042546324001334,5,10-90,20.68148148148148,20,18,33,2.0209789701500682,female,1,135,0.7811993517017828,RISK_GEN_ORD10A,0.5581467938654281,0.5524000175605177,0.5437893945527138,0.5357774238009826,0.5524000175605177,0.5200722298493471,0.29303223776924237,0.3446123132515052,-0.50445732728927,-0.10732405266108594,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.44356590247711,1.6273972602739726,1.010958904109589,1.7424657534246575,0.2985253320300868,5,10-90,20.730569948186528,20,18,33,2.0181334679105136,all,0.6994818652849741,193,0.7843575418994413,RISK_GEN_ORD10A,0.611708613298712,0.6086010197638189,0.5988012427483449,0.5872674571022363,0.6086010197638189,0.5727132799453396,0.2931808660774137,0.34283280773024283,-0.4913482289358584,-0.11572913022060177,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4972602739726026,1.63013698630137,1.021917808219178,1.7342465753424658,0.290066853371683,5,15-19,18.5,18.5,18,19,0.5270462766947299,male,0,10,0.7297297297297297,LOTTERY_ALLOCB,-0.038623869577576415,0.05582448710860295,-0.036636136552872574,0.08833822254999514,0.05582448710860295,0.08898277575504634,0.3146907104777841,0.5322331046955117,-0.1748043293220512,0.5577993411269415,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.5265347539320142,1.63013698630137,1.0164383561643835,1.7424657534246575,0.27454317513582865,5,15-19,18.59259259259259,19,18,19,0.5007117441325404,female,1,27,0.7096774193548387,LOTTERY_ALLOCB,0.4035357215727453,0.36710540556763527,0.4098384365876139,0.05267298273540921,0.36710540556763527,0.050740650306670784,0.7107727029887976,0.6781560264921619,0.2344926250636611,0.7931457027115553,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.5186227323213624,1.63013698630137,1.0164383561643835,1.7424657534246575,0.27503664370851005,5,15-19,18.56756756756757,19,18,19,0.5022472023339225,all,0.7297297297297297,37,0.7153846153846154,LOTTERY_ALLOCB,0.3486516965784913,0.37106209435406456,0.35442021989270794,0.11588360263599055,0.37106209435406456,0.11190492012293046,0.6032622589011879,0.6413899937487499,-3.677805483629085e-6,0.7136754161499468,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4944349315068493,1.63013698630137,1.0136986301369864,1.7342465753424658,0.2771656480038471,5,20-24,21.4375,21,20,24,1.3897667476606375,male,0,32,0.7575757575757576,LOTTERY_ALLOCB,0.4363245643254654,0.45191646167452326,0.4130264120346148,0.4816185674715952,0.45191646167452326,0.3938476560205037,0.6838225781463649,0.5179590075431976,0.23784232645723236,0.0030539378654520933,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.417617478758453,1.6246575342465754,1.010958904109589,1.7397260273972603,0.3034071330714113,5,20-24,21.164556962025316,21,20,24,1.2028852040080233,female,1,79,0.6852589641434264,LOTTERY_ALLOCB,0.4009278391708228,0.42122855444762286,0.3754072586548601,0.4101228379532732,0.42122855444762286,0.4103549124143182,0.6595620857005087,0.696620810345344,0.27528614357798414,0.32798516618869206,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4397630507219552,1.6273972602739726,1.010958904109589,1.7397260273972603,0.29689600463233057,5,20-24,21.243243243243242,21,20,24,1.259265415132721,all,0.7117117117117117,111,0.7101827676240209,LOTTERY_ALLOCB,0.4188769523517767,0.44142880455730993,0.39576900855930874,0.41401634826620537,0.44142880455730993,0.40753531661898873,0.6725044840489992,0.6425141289116811,0.3325828438671942,0.209721949003119,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.5078234398782346,1.63013698630137,1.0136986301369864,1.7424657534246575,0.27165027920001406,5,10-90,21.044444444444444,21,18,26,2.066568912644113,male,0,45,0.75,LOTTERY_ALLOCB,0.35940345286300607,0.3785736430524592,0.34368022350989036,0.4164345730960344,0.3785736430524592,0.33477543561059253,0.6150476718288838,0.508819578893172,0.14072647719718262,0.1985779661126929,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.437798072044647,1.6273972602739726,1.010958904109589,1.7424657534246575,0.3011867926075007,5,10-90,20.675925925925927,20,18,33,2.017811823537917,female,1,108,0.6974789915966386,LOTTERY_ALLOCB,0.39582179729066486,0.4068599490586581,0.38404283834933645,0.31945647235255487,0.4068599490586581,0.319821288723074,0.6679543883522384,0.7039582029577129,0.27748730570741115,0.45314979763940433,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4583937684662909,1.6273972602739726,1.010958904109589,1.7424657534246575,0.29367267345339837,5,10-90,20.784313725490197,20,18,33,2.032438179517491,all,0.7058823529411765,153,0.7150837988826816,LOTTERY_ALLOCB,0.3967833419124042,0.4161330590702428,0.38374355301425483,0.336577178852302,0.4161330590702428,0.3308739967641093,0.6538419123218564,0.6449673771719467,0.25597167088477396,0.33803222299043467,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
